
Nov 22 04:57:23 localhost kernel: [    9.229655] file system registered
Nov 22 04:57:23 localhost kernel: [    9.283257] read descriptors
Nov 22 04:57:23 localhost kernel: [    9.283279] read strings
Nov 22 04:57:24 localhost kernel: [    9.376897] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:25:40 localhost kernel: [   21.519923] [L587][S0]vin_node_set_internal_attr done
Mar  5 18:25:40 localhost kernel: [   21.519928] [VIN_NODE]:[L514][C0]vin_node_video_set_internal_attr done
Mar  5 18:25:40 localhost kernel: [   21.519936] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:25:40 localhost kernel: [   21.519940] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:25:40 localhost kernel: [   21.519945] [VPF ops]:[L1005][vin2_src][C0] vpf_video_set_inter_attr: done
Mar  5 18:25:40 localhost kernel: [   21.519973] isp_video_set_inter_attr flow_id = 0, sensor_name = sc132gs, sensor_cali_name = /app/BestMow/startup_script/sensor_config/darktime/sc132gs_tuning_left.json
Mar  5 18:25:40 localhost kernel: [   21.564355] [VPF mgr]:[L478]empty_camsys_reset: empty function
Mar  5 18:25:40 localhost kernel: [   21.564374] [L1228]cim_open open_cnt :1
Mar  5 18:25:40 localhost kernel: [   21.564378] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:40 localhost kernel: [   21.564382] [L1227][S0]vin_node_open done
Mar  5 18:25:40 localhost kernel: [   21.564387] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:40 localhost kernel: [   21.564390] [VPF ops]:[L2575][vin0_src] vpf_device_open: done
Mar  5 18:25:40 localhost kernel: [   21.564406] [L1228]cim_open open_cnt :2
Mar  5 18:25:40 localhost kernel: [   21.564409] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:40 localhost kernel: [   21.564413] [L1227][S0]vin_node_open done
Mar  5 18:25:40 localhost kernel: [   21.564416] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:40 localhost kernel: [   21.564419] [VPF ops]:[L2575][vin0_cap] vpf_device_open: done
Mar  5 18:25:40 localhost kernel: [   21.564432] [L1228]cim_open open_cnt :3
Mar  5 18:25:40 localhost kernel: [   21.564436] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:40 localhost kernel: [   21.564439] [L1227][S0]vin_node_open done
Mar  5 18:25:40 localhost kernel: [   21.564443] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:40 localhost kernel: [   21.564447] [VPF ops]:[L2575][vin0_emb] vpf_device_open: done
Mar  5 18:25:40 localhost kernel: [   21.564458] [L1228]cim_open open_cnt :4
Mar  5 18:25:40 localhost kernel: [   21.564461] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:25:40 localhost kernel: [   21.564465] [L1227][S0]vin_node_open done
Mar  5 18:25:40 localhost kernel: [   21.564468] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:25:40 localhost kernel: [   21.564471] [VPF ops]:[L2575][vin0_pdaf] vpf_device_open: done
Mar  5 18:25:40 localhost kernel: [   21.564481] [VPF ops]:[L439][vin0_src][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
