
Nov 22 04:57:24 localhost kernel: [   10.345452] read descriptors
Nov 22 04:57:24 localhost kernel: [   10.345473] read strings
Nov 22 04:57:24 localhost kernel: [   10.435061] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:42:34 localhost kernel: [   22.871003] [VPF ops]:[L439][vin0_pdaf][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:42:34 localhost kernel: [   22.871008] [VPF ops]:[L1875][vin0_pdaf][C0] vpf_video_bind_context: done
Mar  5 18:42:34 localhost kernel: [   22.871014] [VIN_NODE]:[L38]The vin node driver version is v1.1
Mar  5 18:42:34 localhost kernel: [   22.871018] [VPF ops]:[L1031][vin0_src][C0] vpf_video_get_version: done
Mar  5 18:42:34 localhost kernel: [   22.871029] [VPF ops]:[L1079][vin0_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.871038] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.871042] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.871046] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.871050] [VPF ops]:[L689][vin0_cap][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.871058] vin vcon0: vcon0 open 0: flow65535 ctx0 real
Mar  5 18:42:34 localhost kernel: [   22.871064] [L624][S65535][C0][ipi0]cim_subdev_init hw_id = 0
Mar  5 18:42:34 localhost kernel: [   22.871068] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.871073] vin vcon0: get attr valid bus7 rx0 done
Mar  5 18:42:34 localhost kernel: [   22.871078] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.871081] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.871084] [VIO node]:[L104][vin0] vio_group_task_start: sched_mode 1
Mar  5 18:42:34 localhost kernel: [   22.871089] [VPF ops]:[L689][vin0_src][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.871094] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.871097] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.871101] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.871104] [VPF ops]:[L689][vin0_emb][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.871109] [CIM]:[L247][C0]cim_video_set_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.871112] [L423][C0] vin_node_set_attr ipi 0 done
Mar  5 18:42:34 localhost kernel: [   22.871116] [VIN_NODE]:[L239][C0]vin_node_video_set_attr done
Mar  5 18:42:34 localhost kernel: [   22.871119] [VPF ops]:[L689][vin0_pdaf][C0] vpf_video_set_init_attr: done
Mar  5 18:42:34 localhost kernel: [   22.871124] [VPF ops]:[L1079][vin0_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.871131] [L709][S65535] vin_node_set_ichn_attr begin format 30 width 640 
Mar  5 18:42:34 localhost kernel: [   22.871139] [L527][S0][ipi0]cim_set_ichn_attr done
Mar  5 18:42:34 localhost kernel: [   22.871144] [CIM]:[L309][S0]cim_video_set_ichn_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.871147] [L724][S0]vin_node_set_ichn_attr done
Mar  5 18:42:34 localhost kernel: [   22.871151] [VIN_NODE]:[L427][C0]vin_node_video_set_ichn_attr done
Mar  5 18:42:34 localhost kernel: [   22.871156] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 0 
Mar  5 18:42:34 localhost kernel: [   22.871161] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:42:34 localhost kernel: [   22.871172] [VPF ops]:[L1193][F0] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871177] [VPF ops]:[L1197][F0] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871182] [VPF ops]:[L1193][F1] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871185] [VPF ops]:[L1197][F1] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871189] [VPF ops]:[L1193][F2] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871193] [VPF ops]:[L1197][F2] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871196] [VPF ops]:[L1193][F3] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871200] [VPF ops]:[L1197][F3] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871204] [VPF ops]:[L1193][F4] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871207] [VPF ops]:[L1197][F4] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871211] [VPF ops]:[L1193][F5] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871215] [VPF ops]:[L1197][F5] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871218] [VPF ops]:[L1193][F6] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871222] [VPF ops]:[L1197][F6] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871225] [VPF ops]:[L1193][F7] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871229] [VPF ops]:[L1197][F7] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871233] [VPF ops]:[L1193][F8] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871236] [VPF ops]:[L1197][F8] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871240] [VPF ops]:[L1193][F9] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871243] [VPF ops]:[L1197][F9] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871247] [VPF ops]:[L1193][F10] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871250] [VPF ops]:[L1197][F10] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871254] [VPF ops]:[L1193][F11] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871257] [VPF ops]:[L1197][F11] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871261] [VPF ops]:[L1193][F12] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871265] [VPF ops]:[L1197][F12] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871269] [VPF ops]:[L1193][F13] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871272] [VPF ops]:[L1197][F13] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871276] [VPF ops]:[L1193][F14] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871280] [VPF ops]:[L1197][F14] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871284] [VPF ops]:[L1193][F15] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.871288] [VPF ops]:[L1197][F15] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.871292] [VPF ops]:[L1325][vin0_src][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:42:34 localhost kernel: [   22.871297] [VPF ops]:[L850][vin0_src][C0] vpf_video_set_ichn_attr: done
Mar  5 18:42:34 localhost kernel: [   22.871304] [VPF ops]:[L1079][vin0_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.871312] [L236][S0] ochn0 auto calc vstride 480
